Year,2017,2018,2019,2020,2021
Capital,"4,564.90","4,605.90","4,630.10","25,100.90","50,109.80"
Reserves Total,"215,831.40","252,919.10","264,244.00","191,848.70","281,273.10"
Deposits,"1,428,574.40","2,006,886.00","2,275,579.00","1,053,111.70","1,628,459.30"
Borrowings,"386,066.70","748,935.80","1,084,241.10","1,137,905.00","639,490.80"
Other Liabilities & Provisions,"115,559.40","111,149.60","179,901.90","170,355.30","136,601.30"
TOTAL LIABILITIES,"2,150,596.80","3,124,496.40","3,808,596.10","2,578,321.60","2,735,934.30"
Cash & Balances with RBI,"69,520.70","114,257.50","107,977.40","59,436.50","68,127.90"
Balances with Banks & money at Call,"126,025.90","133,280.70","161,871.90","24,867.00","225,124.60"
Investments,"499,818.00","682,934.40","893,285.30","437,478.00","431,146.50"
Advances,"1,322,626.80","2,035,188.30","2,413,971.90","1,714,330.90","1,668,048.60"
Fixed Assets,"6,867.90","8,373.00","8,298.90","10,233.80","21,583.80"
Other Assets,"125,737.60","150,462.80","223,190.70","331,975.30","321,903.00"
TOTAL ASSETS,"2,150,596.90","3,124,496.70","3,808,596.10","2,578,321.50","2,735,934.40"
Contingent Liability,"3,793,981.60","5,815,359.80","6,538,632.50","4,582,061.50","4,592,624.90"
Bills for collection,"13,900.00","19,355.60","50,592.40","51,201.90","22,140.50"
